quarter,year,day,start_of_year,start_of_monthj,start_of_quarter,date,start_of_week,day_of_week,month_name
date,day,day_of_week,month_name,quarter,year,start_of_year,start_of_monthj,start_of_quarter,start_of_week
2010-01-01 00:00:00.000,1,Friday,Jan,1,2010,2010-01-01 00:00:00.000,2010-01-01 00:00:00.000,2010-01-01 00:00:00.000,2009-12-28 00:00:00.000
2010-01-02 00:00:00.000,2,Saturday,Jan,1,2010,2010-01-01 00:00:00.000,2010-01-01 00:00:00.000,2010-01-01 00:00:00.000,2009-12-28 00:00:00.000
2010-01-03 00:00:00.000,3,Sunday,Jan,1,2010,2010-01-01 00:00:00.000,2010-01-01 00:00:00.000,2010-01-01 00:00:00.000,2009-12-28 00:00:00.000
2010-01-04 00:00:00.000,4,Monday,Jan,1,2010,2010-01-01 00:00:00.000,2010-01-01 00:00:00.000,2010-01-01 00:00:00.000,2010-01-04 00:00:00.000
2010-01-05 00:00:00.000,5,Tuesday,Jan,1,2010,2010-01-01 00:00:00.000,2010-01-01 00:00:00.000,2010-01-01 00:00:00.000,2010-01-04 00:00:00.000
2010-01-06 00:00:00.000,6,Wednesday,Jan,1,2010,2010-01-01 00:00:00.000,2010-01-01 00:00:00.000,2010-01-01 00:00:00.000,2010-01-04 00:00:00.000
2010-01-07 00:00:00.000,7,Thursday,Jan,1,2010,2010-01-01 00:00:00.000,2010-01-01 00:00:00.000,2010-01-01 00:00:00.000,2010-01-04 00:00:00.000
2010-01-08 00:00:00.000,8,Friday,Jan,1,2010,2010-01-01 00:00:00.000,2010-01-01 00:00:00.000,2010-01-01 00:00:00.000,2010-01-04 00:00:00.000
2010-01-09 00:00:00.000,9,Saturday,Jan,1,2010,2010-01-01 00:00:00.000,2010-01-01 00:00:00.000,2010-01-01 00:00:00.000,2010-01-04 00:00:00.000
2010-01-10 00:00:00.000,10,Sunday,Jan,1,2010,2010-01-01 00:00:00.000,2010-01-01 00:00:00.000,2010-01-01 00:00:00.000,2010-01-04 00:00:00.000
2010-01-11 00:00:00.000,11,Monday,Jan,1,2010,2010-01-01 00:00:00.000,2010-01-01 00:00:00.000,2010-01-01 00:00:00.000,2010-01-11 00:00:00.000
2010-01-12 00:00:00.000,12,Tuesday,Jan,1,2010,2010-01-01 00:00:00.000,2010-01-01 00:00:00.000,2010-01-01 00:00:00.000,2010-01-11 00:00:00.000
2010-01-13 00:00:00.000,13,Wednesday,Jan,1,2010,2010-01-01 00:00:00.000,2010-01-01 00:00:00.000,2010-01-01 00:00:00.000,2010-01-11 00:00:00.000
2010-01-14 00:00:00.000,14,Thursday,Jan,1,2010,2010-01-01 00:00:00.000,2010-01-01 00:00:00.000,2010-01-01 00:00:00.000,2010-01-11 00:00:00.000
2010-01-15 00:00:00.000,15,Friday,Jan,1,2010,2010-01-01 00:00:00.000,2010-01-01 00:00:00.000,2010-01-01 00:00:00.000,2010-01-11 00:00:00.000
2010-01-16 00:00:00.000,16,Saturday,Jan,1,2010,2010-01-01 00:00:00.000,2010-01-01 00:00:00.000,2010-01-01 00:00:00.000,2010-01-11 00:00:00.000
2010-01-17 00:00:00.000,17,Sunday,Jan,1,2010,2010-01-01 00:00:00.000,2010-01-01 00:00:00.000,2010-01-01 00:00:00.000,2010-01-11 00:00:00.000
2010-01-18 00:00:00.000,18,Monday,Jan,1,2010,2010-01-01 00:00:00.000,2010-01-01 00:00:00.000,2010-01-01 00:00:00.000,2010-01-18 00:00:00.000
2010-01-19 00:00:00.000,19,Tuesday,Jan,1,2010,2010-01-01 00:00:00.000,2010-01-01 00:00:00.000,2010-01-01 00:00:00.000,2010-01-18 00:00:00.000
2010-01-20 00:00:00.000,20,Wednesday,Jan,1,2010,2010-01-01 00:00:00.000,2010-01-01 00:00:00.000,2010-01-01 00:00:00.000,2010-01-18 00:00:00.000
